1927/1928  1        Actor|Richard Barthelmess|The Noose
                    Actress in a Leading Role|Helena Bonham Carter|The Wings of the Dove
                    Actress in a Leading Role|Julie Christie|Afterglow
                    Actress in a Leading Role|Judi Dench|Mrs. Brown
             Winner Actress in a Leading Role|Helen Hunt|As Good as It Gets
                    Actress in a Leading Role|Kate Winslet|Titanic
             Winner Actress in a Supporting Role|Kim Basinger|L.A. Confidential
                    Actress in a Supporting Role|Joan Cusack|In & Out
                    Actress in a Supporting Role|Minnie Driver|Good Will Hunting
                    Actress in a Supporting Role|Julianne Moore|Boogie Nights
                    Actress in a Supporting Role|Gloria Stuart|Titanic
                    Art Direction|Gattaca|Art Direction: Jan Roelfs; Set Decoration: Nancy Nye
                    Art Direction|Kundun|Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
                    Art Direction|L.A. Confidential|Art Direction: Jeannine Oppewall; Set Decoration: Jay R. Hart
                    Art Direction|Men in Black|Art Direction: Bo Welch; Set Decoration: Cheryl Carasik
             Winner Art Direction|Titanic|Art Direction: Peter Lamont; Set Decoration: Michael Ford
                    Cinematography|Amistad|Janusz Kaminski
                    Cinematography|Kundun|Roger Deakins
                    Cinematography|L.A. Confidential|Dante Spinotti
             Winner Cinematography|Titanic|Russell Carpenter
                    Cinematography|The Wings of the Dove|Eduardo Serra
                    Costume Design|Amistad|Ruth E. Carter
                    Costume Design|Kundun|Dante Ferretti
                    Costume Design|Oscar and Lucinda|Janet Patterson
             Winner Costume Design|Titanic|Deborah L. Scott
                    Costume Design|The Wings of the Dove|Sandy Powell
                    Directing|The Full Monty|Peter Cattaneo
                    Directing|Good Will Hunting|Gus Van Sant
                    Directing|L.A. Confidential|Curtis Hanson
                    Directing|The Sweet Hereafter|Atom Egoyan
             Winner Directing|Titanic|James Cameron
                    Documentary (Feature)|Ayn Rand: A Sense of Life|Michael Paxton
                    Documentary (Feature)|Colors Straight Up|Michèle Ohayon, Julia Schachter
                    Documentary (Feature)|4 Little Girls|Spike Lee, Sam Pollard
             Winner Documentary (Feature)|The Long Way Home|Rabbi Marvin Hier, Richard Trank
                    Documentary (Feature)|Waco: The Rules of Engagement|Dan Gifford, William Gazecki
                    Documentary (Short Subject)|Alaska: Spirit of the Wild|George Casey, Paul Novros
                    Documentary (Short Subject)|Amazon|Kieth Merrill, Jonathan Stern
                    Documentary (Short Subject)|Daughter of the Bride|Terri Randall
                    Documentary (Short Subject)|Still Kicking: The Fabulous Palm Springs Follies|Mel Damski, Andrea Blaugrund
             Winner Documentary (Short Subject)|A Story of Healing|Donna Dewey, Carol Pasternak
                    Film Editing|Air Force One|Richard Francis-Bruce
                    Film Editing|As Good as It Gets|Richard Marks
                    Film Editing|Good Will Hunting|Pietro Scalia
                    Film Editing|L.A. Confidential|Peter Honess
             Winner Film Editing|Titanic|Conrad Buff, James Cameron, Richard A. Harris
                    Foreign Language Film|Beyond Silence|Germany
             Winner Foreign Language Film|Character|The Netherlands
                    Foreign Language Film|Four Days in September|Brazil
                    Foreign Language Film|Secrets of the Heart|Spain
                    Foreign Language Film|The Thief|Russia
             Winner Makeup|Men in Black|Rick Baker, David LeRoy Anderson
                    Makeup|Mrs. Brown|Lisa Westcott, Veronica Brebner, Beverley Binda
                    Makeup|Titanic|Tina Earnshaw, Greg Cannom, Simon Thompson
                    Music (Original Dramatic Score)|Amistad|John Williams
                    Music (Original Dramatic Score)|Good Will Hunting|Danny Elfman
                    Music (Original Dramatic Score)|Kundun|Philip Glass
                    Music (Original Dramatic Score)|L.A. Confidential|Jerry Goldsmith
             Winner Music (Original Dramatic Score)|Titanic|James Horner
                    Music (Original Musical or Comedy Score)|Anastasia|Music by Stephen Flaherty; Lyrics by Lynn Ahrens; Orchestral Score by David Newman
                    Music (Original Musical or Comedy Score)|As Good as It Gets|Hans Zimmer
             Winner Music (Original Musical or Comedy Score)|The Full Monty|Anne Dudley
                    Music (Original Musical or Comedy Score)|Men in Black|Danny Elfman
                    Music (Original Musical or Comedy Score)|My Best Friend's Wedding|James Newton Howard
                    Music (Original Song)|"""Go The Distance"" from Hercules"|Music by Alan Menken; Lyric by David Zippel
                    Music (Original Song)|"""How Do I Live"" from Con Air"|Music and Lyric by Diane Warren
                    Music (Original Song)|"""Journey To The Past"" from Anastasia"|Music by Stephen Flaherty; Lyric by Lynn Ahrens
                    Music (Original Song)|"""Miss Misery"" from Good Will Hunting"|Music and Lyric by Elliott Smith
             Winner Music (Original Song)|"""My Heart Will Go On"" from Titanic"|Music by James Horner; Lyric by Will Jennings
                    Best Picture|As Good as It Gets|James L. Brooks, Bridget Johnson and Kristi Zea, Producers
                    Best Picture|The Full Monty|Uberto Pasolini, Producer
                    Best Picture|Good Will Hunting|Lawrence Bender, Producer
                    Best Picture|L.A. Confidential|Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers
             Winner Best Picture|Titanic|James Cameron and Jon Landau, Producers
                    Short Film (Animated)|Famous Fred|Joanna Quinn
             Winner Short Film (Animated)|Geri's Game|Jan Pinkava
                    Short Film (Animated)|La Vieille Dame et les Pigeons (The Old Lady and the Pigeons)|Sylvain Chomet
                    Short Film (Animated)|The Mermaid|Alexander Petrov
                    Short Film (Animated)|Redux Riding Hood|Steve Moore, Dan O'Shannon
                    Short Film (Live Action)|Dance Lexie Dance|Pearse Moore, Tim Loane
                    Short Film (Live Action)|It's Good to Talk|Roger Goldby, Barney Reisz
                    Short Film (Live Action)|Sweethearts?|Birger Larsen, Thomas Lydholm
             Winner Short Film (Live Action)|Visas and Virtue|Chris Tashima, Chris Donahue
                    Short Film (Live Action)|Wolfgang|Kim Magnusson, Anders Thomas Jensen
                    Sound|Air Force One|Paul Massey, Rick Kline, D. M. Hemphill, Keith A. Wester
                    Sound|Con Air|Kevin O'Connell, Greg P. Russell, Arthur Rochester
                    Sound|Contact|Randy Thom, Tom Johnson, Dennis Sands, William B. Kaplan
                    Sound|L.A. Confidential|Andy Nelson, Anna Behlmer, Kirk Francis
             Winner Sound|Titanic|Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano
                    Sound Effects Editing|Face/Off|Mark P. Stoeckinger, Per Hallberg
                    Sound Effects Editing|The Fifth Element|Mark Mangini
             Winner Sound Effects Editing|Titanic|Tom Bellfort, Christopher Boyes
                    Visual Effects|The Lost World: Jurassic Park|Dennis Muren, Stan Winston, Randal M. Dutra, Michael Lantieri
                    Visual Effects|Starship Troopers|Phil Tippett, Scott E. Anderson, Alec Gillis, John Richardson
             Winner Visual Effects|Titanic|Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer
                    Writing (Screenplay Based on Material Previously Produced or Published)|Donnie Brasco|Paul Attanasio
             Winner Writing (Screenplay Based on Material Previously Produced or Published)|L.A. Confidential|Brian Helgeland, Curtis Hanson
                    Writing (Screenplay Based on Material Previously Produced or Published)|The Sweet Hereafter|Atom Egoyan
                    Writing (Screenplay Based on Material Previously Produced or Published)|Wag the Dog|Hilary Henkin, David Mamet
                    Writing (Screenplay Based on Material Previously Produced or Published)|The Wings of the Dove|Hossein Amini
                    Writing (Screenplay Written Directly for the Screen)|As Good as It Gets|Screenplay by Mark Andrus, James L. Brooks; Story by Mark Andrus
                    Writing (Screenplay Written Directly for the Screen)|Boogie Nights|Paul Thomas Anderson
                    Writing (Screenplay Written Directly for the Screen)|Deconstructing Harry|Woody Allen
                    Writing (Screenplay Written Directly for the Screen)|The Full Monty|Simon Beaufoy
             Winner Writing (Screenplay Written Directly for the Screen)|Good Will Hunting|Ben Affleck, Matt Damon
             Winner Honorary Award|Stanley Donen|
             Winner Gordon E. Sawyer Award|Don Iwerks|
             Winner John A. Bonner Medal of Commendation|Pete Clark|
1998      71 Winner Actor in a Leading Role|Roberto Benigni|Life Is Beautiful
                    Actor in a Leading Role|Tom Hanks|Saving Private Ryan
                    Actor in a Leading Role|Ian McKellen|Gods and Monsters
                    Actor in a Leading Role|Nick Nolte|Affliction
                    Actor in a Leading Role|Edward Norton|American History X
             Winner Actor in a Supporting Role|James Coburn|Affliction
                    Actor in a Supporting Role|Robert Duvall|A Civil Action
                    Actor in a Supporting Role|Ed Harris|The Truman Show
                    Actor in a Supporting Role|Geoffrey Rush|Shakespeare in Love
                    Actor in a Supporting Role|Billy Bob Thornton|A Simple Plan
                    Actress in a Leading Role|Cate Blanchett|Elizabeth
                    Actress in a Leading Role|Fernanda Montenegro|Central Station
             Winner Actress in a Leading Role|Gwyneth Paltrow|Shakespeare in Love
                    Actress in a Leading Role|Meryl Streep|One True Thing
                    Actress in a Leading Role|Emily Watson|Hilary and Jackie
                    Actress in a Supporting Role|Kathy Bates|Primary Colors
                    Actress in a Supporting Role|Brenda Blethyn|Little Voice
             Winner Actress in a Supporting Role|Judi Dench|Shakespeare in Love
                    Actress in a Supporting Role|Rachel Griffiths|Hilary and Jackie
                    Actress in a Supporting Role|Lynn Redgrave|Gods and Monsters
                    Art Direction|Elizabeth|Art Direction: John Myhre; Set Decoration: Peter Howitt
                    Art Direction|Pleasantville|Art Direction: Jeannine Oppewall; Set Decoration: Jay Hart
                    Art Direction|Saving Private Ryan|Art Direction: Tom Sanders; Set Decoration: Lisa Dean Kavanaugh
